"Actual","Predicted","nPredictions"
"Class_0","Class_0","0"
"Class_0","Class_1","0"
"Class_0","Class_2","0"
"Class_0","Class_3","0"
"Class_0","Class_4","0"
"Class_0","Class_5","0"
"Class_0","Class_6","0"
"Class_1","Class_0","0"
"Class_1","Class_1","33"
"Class_1","Class_2","8"
"Class_1","Class_3","2"
"Class_1","Class_4","10"
"Class_1","Class_5","2"
"Class_1","Class_6","4"
"Class_2","Class_0","0"
"Class_2","Class_1","8"
"Class_2","Class_2","45"
"Class_2","Class_3","2"
"Class_2","Class_4","22"
"Class_2","Class_5","0"
"Class_2","Class_6","3"
"Class_3","Class_0","0"
"Class_3","Class_1","1"
"Class_3","Class_2","4"
"Class_3","Class_3","6"
"Class_3","Class_4","12"
"Class_3","Class_5","4"
"Class_3","Class_6","1"
"Class_4","Class_0","0"
"Class_4","Class_1","21"
"Class_4","Class_2","13"
"Class_4","Class_3","3"
"Class_4","Class_4","45"
"Class_4","Class_5","5"
"Class_4","Class_6","0"
"Class_5","Class_0","0"
"Class_5","Class_1","2"
"Class_5","Class_2","0"
"Class_5","Class_3","0"
"Class_5","Class_4","6"
"Class_5","Class_5","5"
"Class_5","Class_6","1"
"Class_6","Class_0","0"
"Class_6","Class_1","9"
"Class_6","Class_2","11"
"Class_6","Class_3","3"
"Class_6","Class_4","13"
"Class_6","Class_5","6"
"Class_6","Class_6","14"